# PRISM-R: tracking the 25 per cent reduction in child remand
# A stock measure: the monthly remand population, and its 12-month rolling average, against the baseline and the target. See docs/target-metric.md for the definitions.
# PRISM-R, an open tool for analysis of remand disproportionality in
# the youth justice system of England and Wales. Oxon Advisory.
# https://prism-r.howpreventionworks.com
# Contains public sector information licensed under the Open Government
# Licence v3.0. Source and reference period are given per row.
# A blank value with a disclosure_status of suppressed or
# source_suppressed is a cell withheld under disclosure control; it is
# not a zero and must not be treated as one.
block,month,remand,rolling_avg_12m,provisional,age_basis,source,reference_period,disclosure_status
whole_custody_ethnicity_monthly,2023-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,suppressed
whole_custody_ethnicity_monthly,2023-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,suppressed
whole_custody_ethnicity_monthly,2023-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-07,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-07,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-07,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-07,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-07,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-07,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-08,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-08,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-08,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-08,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-08,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-08,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-09,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-09,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-09,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-09,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-09,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-09,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-10,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-10,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-10,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-10,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-10,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-10,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-11,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-11,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-11,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-11,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-11,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-11,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-12,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-12,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-12,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-12,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-12,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2023-12,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-01,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-01,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-01,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-01,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-01,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-01,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-02,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-02,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-02,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-02,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-02,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-02,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-03,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-03,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-03,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-03,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-03,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-03,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-04,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-05,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
whole_custody_ethnicity_monthly,2024-06,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
